NAME;AC_e;EC_e;MG_e;PC_e;AC;EC;MG;PC
Gpx1;1;1;1;1;0;0;0;0
Aplp2;1;1;1;1;0;0;0;1
Col4a1;1;1;1;1;0;1;1;0
Mbp;1;1;1;1;0;0;0;0
Ier2;1;1;1;1;0;0;0;0
Pttg1ip;1;1;1;1;0;0;0;0
Tm4sf1;1;1;1;1;0;0;1;1
Adamts1;1;1;1;1;1;0;0;0
Atp1b2;1;1;1;1;0;0;0;0
Actn4;1;1;1;1;0;0;0;1
Ctla2a;1;1;0;1;0;0;1;1
Itm2c;1;1;1;1;0;1;0;0
Tmem59;1;1;1;1;0;0;0;0
Epas1;1;1;1;1;0;0;0;0
Prdx6;1;1;1;1;0;0;1;0
Csrp1;1;1;1;1;0;0;0;0
Plat;1;1;1;1;0;0;0;0
Cyr61;1;1;1;1;0;1;0;0
Tsc22d3;1;1;1;1;0;1;1;0
Prdx1;1;1;1;1;0;0;1;1
Slc1a2;1;0;0;0;0;0;0;0
Akr1a1;1;1;1;1;0;0;0;0
Bcan;1;0;1;0;0;0;0;0
Hnrnpk;1;1;1;1;0;0;0;0
Lamp1;1;1;1;1;0;0;0;0
Igfbp4;1;1;1;1;0;0;0;0
Fcgr3;1;1;1;0;0;0;0;0
App;1;1;1;1;0;1;1;0
Gstm1;1;1;1;1;0;0;0;1
mt-Rnr1;1;1;1;1;0;0;0;0
Fcer1g;1;1;1;0;0;0;0;0
Cfl1;1;1;1;1;0;0;0;0
Tns1;1;1;1;1;0;0;1;0
Calm2;1;1;1;1;0;0;0;0
Nr4a1;1;1;1;1;0;0;0;0
Crispld2;1;1;0;1;0;0;0;0
Fkbp1a;1;1;1;1;0;0;1;0
Jcad;1;1;1;1;0;0;0;0
Arhgdia;1;1;1;1;0;0;0;0
Ctsc;1;1;1;1;0;0;0;1
Dazap2;1;1;1;1;0;0;0;0
Eif4g2;1;1;1;1;0;0;0;0
Eif5a;1;1;1;1;0;0;1;0
Ppia;1;1;1;1;0;0;0;0
Abhd12;1;1;1;1;0;0;0;0
Ndrg2;1;1;1;1;0;0;0;0
Cd53;1;1;1;0;0;0;1;0
Mylk;1;1;1;1;0;0;0;1
Pltp;1;1;1;1;0;1;0;0
Klf6;1;1;1;1;0;0;0;0
Rplp0;1;1;1;1;0;0;1;0
F3;1;0;1;1;0;0;0;0
Slc27a1;1;1;1;1;0;0;0;0
Id2;1;1;1;1;0;0;1;0
Bcam;1;1;0;1;0;0;0;1
Fn1;1;1;1;1;0;0;1;0
Sirpa;1;1;1;1;0;0;0;0
Wdr1;1;1;1;1;1;0;0;0
Anxa2;1;1;1;1;0;0;1;1
Uqcrc1;1;1;1;1;0;0;0;0
Ppp1r15a;1;1;1;1;0;0;1;0
Adgrg1;1;1;1;1;0;0;0;0
Capza2;1;1;1;1;0;0;0;0
Myl6;1;1;1;1;0;0;1;0
Rgs4;1;1;1;1;0;0;0;0
Lamb2;1;1;1;1;0;0;0;0
Slc25a4;1;1;1;1;0;0;0;0
Cd68;1;1;1;1;0;0;0;0
Laptm4a;1;1;1;1;0;0;0;0
Tuba1a;1;1;1;1;0;0;0;1
Socs3;1;1;1;1;0;0;0;0
Canx;1;1;1;1;0;0;0;0
Tagln2;1;1;1;1;0;0;1;0
Tyrobp;1;1;1;0;0;0;0;0
Mat2a;1;1;1;1;0;0;0;0
Saraf;1;1;1;1;0;0;0;0
Anxa5;1;1;1;1;0;0;1;0
Col4a2;1;1;1;1;0;1;1;0
Vsir;1;1;1;0;0;0;1;0
Selenof;1;1;1;1;0;0;1;0
Serpine2;1;1;1;1;0;0;1;1
Ctgf;1;1;1;1;0;0;0;0
Lrg1;1;1;1;1;0;0;1;1
Atp6ap1;1;1;1;1;0;0;0;0
Eif1;1;1;1;1;0;0;0;0
Cox4i1;1;1;1;1;0;0;0;0
C5ar1;1;0;1;0;0;0;1;0
Tinagl1;1;1;1;1;0;0;0;1
Lmna;1;1;1;1;0;0;1;0
Efhd2;1;1;1;1;1;0;0;0
Pcp4l1;1;1;1;1;0;0;0;0
Srgn;1;1;1;1;0;0;1;1
Ccl3;1;0;1;0;0;0;0;0
Rpl4;1;1;1;1;0;0;0;0
Skp1a;1;1;1;1;0;0;0;0
