Gene;Log2Fc sEC/cEC;Mean cEC;Mean sEC;Log2Fc sPC/cPC;Mean cPC;Mean sPC;Log 2Fc sAC/cAC;Mean cAC;Mean sAC;Log2Fc sMG/cMG;Mean cMG;Mean sMG;cEC_exp;cPC_exp;cAC_exp;cMG_exp;sEC_exp;sPC_exp;sAC_exp;sMG_exp;EC_reg;PC_reg;AC_reg;MG_reg
Prss35;NA;0;0;NA;0;0;0,12;176;183;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Fezf2;NA;0;0;NA;0;0;-1,14;166;73;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Otoa;NA;0;0;NA;0;0;-0,33;89;68;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm26512;NA;0;0;NA;0;0;-0,42;82;60;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Nphs1;NA;0;0;NA;0;0;-1,08;96;43;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gpr50;NA;0;0;NA;0;0;1,54;25;73;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2610316D01Rik;NA;0;0;NA;0;0;-0,89;63;32;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm33594;NA;0;0;NA;0;0;-0,16;49;41;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm37107;NA;0;0;NA;0;0;-0,42;52;38;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Acsm5;NA;0;0;NA;0;0;-1,46;66;22;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm20743;NA;0;0;NA;0;0;-1,35;64;24;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AC147241.1;NA;0;0;NA;0;0;0;44;43;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm7967;NA;0;0;NA;0;0;-1,52;65;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm36944;NA;0;0;NA;0;0;-0,55;51;34;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Epx;NA;0;0;NA;0;0;-0,39;46;34;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Tmprss7;NA;0;0;NA;0;0;-0,56;46;29;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Colq;NA;0;0;NA;0;0;-1,16;52;22;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Smyd1;NA;0;0;NA;0;0;-0,39;42;31;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Erv3;NA;0;0;NA;0;0;0,53;29;41;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm26803;NA;0;0;NA;0;0;0,33;31;38;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Foxo6os;NA;0;0;NA;0;0;-0,16;35;30;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Birc7;NA;0;0;NA;0;0;-1,62;51;15;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm37367;NA;0;0;NA;0;0;0,26;29;33;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
BC006965;NA;0;0;NA;0;0;-1,15;43;18;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Apoc3;NA;0;0;NA;0;0;-0,47;35;25;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3110082J24Rik;NA;0;0;NA;0;0;-1,28;43;16;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
1700003D09Rik;NA;0;0;NA;0;0;-0,22;32;26;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Nat8f3;NA;0;0;NA;0;0;-0,68;35;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6430503K07Rik;NA;0;0;NA;0;0;-0,51;32;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Pcdh8;NA;0;0;NA;0;0;1,62;12;39;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A830019P07Rik;NA;0;0;NA;0;0;-0,16;28;24;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2900037B21Rik;NA;0;0;NA;0;0;-0,6;32;20;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C2cd4d;NA;0;0;NA;0;0;-0,59;30;19;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm44151;NA;0;0;NA;0;0;-1,01;33;15;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fam83f;NA;0;0;NA;0;0;-0,82;31;16;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm37211;NA;0;0;NA;0;0;-0,15;23;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Dmrta2;NA;0;0;NA;0;0;-1;30;14;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4930480K15Rik;NA;0;0;NA;0;0;-0,3;24;18;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm27151;NA;0;0;NA;0;0;-0,02;21;20;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm6185;NA;0;0;NA;0;0;0,53;16;22;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1ql3;NA;0;0;NA;0;0;1,86;7;30;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm45168;NA;0;0;NA;0;0;-0,6;20;12;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Nlrp1c-ps;NA;0;0;NA;0;0;NA;0;0;-1,31;132;50;0;0;0;1;0;0;0;0;0;0;0;0
Dyrk4;NA;0;0;NA;0;0;-0,27;11;9;-1,69;91;26;0;0;0;1;0;0;0;0;0;0;0;0
Fam196b;NA;0;0;NA;0;0;0,58;1;2;-1,04;78;36;0;0;0;1;0;0;0;0;0;0;0;0
Ano7;NA;0;0;NA;0;0;-0,48;1;1;-2,45;90;15;0;0;0;1;0;0;0;0;0;0;0;1
Gm27676;NA;0;0;NA;0;0;-0,14;1;0;-0,35;50;38;0;0;0;1;0;0;0;0;0;0;0;0
Ddx43;NA;0;0;NA;0;0;1,8;0;2;-1,22;62;25;0;0;0;1;0;0;0;0;0;0;0;0
Pvrig;NA;0;0;NA;0;0;NA;0;0;-1,03;53;25;0;0;0;1;0;0;0;0;0;0;0;0
Gm15928;NA;0;0;NA;0;0;-0,41;5;3;-1,63;50;14;0;0;0;1;0;0;0;0;0;0;0;0
Gm3739;NA;0;0;NA;0;0;NA;0;0;-2,79;57;7;0;0;0;1;0;0;0;0;0;0;0;1
Olfr110;NA;0;0;NA;0;0;-1,29;1;0;-0,11;28;25;0;0;0;1;0;0;0;1;0;0;0;0
AC112157.1;NA;0;0;NA;0;0;NA;0;0;-1,44;33;11;0;0;0;1;0;0;0;0;0;0;0;0
Gm13479;NA;0;0;NA;0;0;NA;0;0;-3,85;43;2;0;0;0;1;0;0;0;0;0;0;0;1
4933406I18Rik;NA;0;0;NA;0;0;0,18;0;0;-0,94;30;14;0;0;0;1;0;0;0;0;0;0;0;0
AC159810.1;NA;0;0;NA;0;0;NA;0;0;-1,99;35;7;0;0;0;1;0;0;0;0;0;0;0;0
Gm37606;NA;0;0;NA;0;0;-0,4;45;33;-1,13;30;12;0;0;1;0;0;0;1;0;0;0;0;0
AC132332.1;NA;0;0;NA;0;0;-1,58;2;0;-1,04;28;12;0;0;0;1;0;0;0;0;0;0;0;0
Gm42971;NA;0;0;NA;0;0;0,38;20;27;-0,52;14;9;0;0;1;0;0;0;0;0;0;0;0;0
Serpinf2;NA;0;0;NA;0;0;1,79;15;54;-1,88;13;2;0;0;0;0;0;0;1;0;0;0;0;0
Spag5;NA;0;0;NA;0;0;-0,01;208;201;3,24;0;10;0;0;1;0;0;0;1;0;0;0;0;0
Cckbr;NA;0;0;NA;0;0;-0,48;220;154;-3,21;9;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm13031;NA;0;0;NA;0;0;-2,17;31;6;-1,11;4;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm42583;NA;0;0;NA;0;0;0,1;67;70;-0,41;3;2;0;0;1;0;0;0;0;0;0;0;0;0
Egfl6;NA;0;0;NA;0;0;-0,71;309;182;2,42;0;4;0;0;1;0;0;0;1;0;0;0;0;0
Gm43765;NA;0;0;NA;0;0;-0,42;74;54;-1,55;3;0;0;0;1;0;0;0;1;0;0;0;0;0
AC144543.2;NA;0;0;NA;0;0;-1,26;68;27;-2,27;4;0;0;0;1;0;0;0;0;0;0;0;0;0
Sds;NA;0;0;NA;0;0;-1,09;61;27;1,55;0;3;0;0;1;0;0;0;0;0;0;0;0;0
Grip1;NA;0;0;NA;0;0;-0,15;40;35;-1,35;2;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm44895;NA;0;0;NA;0;0;0,1;40;42;-1,73;2;0;0;0;0;0;0;0;1;0;0;0;0;0
Grifin;NA;0;0;NA;0;0;-0,23;37;30;1,29;0;1;0;0;1;0;0;0;1;0;0;0;0;0
Fam184b;NA;0;0;NA;0;0;-1,01;59;28;-0,32;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Ccdc190;NA;0;0;NA;0;0;-0,17;99;85;-1,21;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm26700;NA;0;0;NA;0;0;-1,14;137;59;-1,2;1;0;0;0;1;0;0;0;1;0;0;0;0;0
AC159239.1;NA;0;0;NA;0;0;-0,24;110;90;-0,85;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Irx2;NA;0;0;NA;0;0;-0,14;56;49;-0,97;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm3617;NA;0;0;NA;0;0;-0,77;30;17;0,96;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm10629;NA;0;0;NA;0;0;-0,86;36;18;0,92;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Esrrb;NA;0;0;NA;0;0;-1,6;24;7;0,76;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Serpina3f;0,53;224;319;NA;0;0;5,98;0;76;-1,2;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Gm39822;0,39;106;135;NA;0;0;2,29;1;9;-0,92;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Gpr143;-0,51;115;79;NA;0;0;1,11;2;7;NA;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Rbp7;-1,45;102;36;NA;0;0;NA;0;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pbld1;-1,6;84;27;NA;0;0;-2,18;4;0;-1,08;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Gm15609;-1,64;75;23;NA;0;0;2,57;0;5;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gm38345;-0,66;42;26;NA;0;0;1,16;0;1;0,03;14;14;1;0;0;0;0;0;0;0;0;0;0;0
D630030B08Rik;-3,88;55;3;NA;0;0;0,81;13;23;-1,53;74;24;1;0;0;1;0;0;0;0;1;0;0;1
4933421A08Rik;0,45;24;33;NA;0;0;-0,29;9;7;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Clec9a;-0,28;30;24;NA;0;0;NA;0;0;-1,2;1;0;0;0;0;0;1;0;0;0;0;0;0;0
5031415H12Rik;-0,24;25;21;NA;0;0;-0,78;14;7;-0,59;7;4;1;0;0;0;1;0;0;0;0;0;0;0
Shc3;2,21;5;26;NA;0;0;-0,1;53;48;1,32;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm37760;-1,37;18;6;NA;0;0;-0,17;5;4;-1,13;81;35;0;0;0;1;0;0;0;1;0;0;0;0
1700066B19Rik;-1,66;18;5;NA;0;0;-0,24;5;4;-1,35;24;8;0;0;0;1;0;0;0;0;0;0;0;0
Sox1;-2,22;18;3;NA;0;0;-0,89;292;153;-1,52;4;0;0;0;1;0;0;0;1;0;0;0;0;0
B230104I21Rik;-3,55;18;0;NA;0;0;-1,13;20;8;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm44758;4,38;0;18;NA;0;0;0,3;46;55;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gabbr2;-0,35;9;7;NA;0;0;-0,59;1202;775;2,07;0;7;0;0;1;0;0;0;1;0;0;0;0;0
Tmem74b;-3,12;15;1;NA;0;0;-0,73;24;14;-1,21;2;0;0;0;1;0;0;0;0;0;0;0;0;0
AC153143.1;-0,93;10;4;NA;0;0;0,98;2;5;-1,16;78;32;0;0;0;1;0;0;0;0;0;0;0;0
Prss56;3,94;0;13;NA;0;0;-1,2;320;134;2,27;0;4;0;0;1;0;0;0;1;0;0;0;0;0
Ildr1;0,99;4;9;NA;0;0;-1,36;43;15;-1,21;168;69;0;0;0;1;0;0;0;1;0;0;0;1
Lrrc9;1,1;4;9;NA;0;0;-0,13;124;110;1,33;16;41;0;0;1;0;0;0;1;0;0;0;0;0
Cracr2a;1,02;3;8;NA;0;0;0,12;6;6;-0,76;52;29;0;0;0;1;0;0;0;1;0;0;0;0
Pcdh20;0,32;5;6;NA;0;0;-0,4;150;110;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Prss50;-0,96;7;3;NA;0;0;-0,41;172;125;2,96;0;7;0;0;1;0;0;0;1;0;0;0;0;0
Ighd;2,69;0;9;NA;0;0;1,01;0;1;-0,59;146;92;0;0;0;1;0;0;0;1;0;0;0;0
Gm45169;3,54;0;10;NA;0;0;-0,55;30;19;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
B130006D01Rik;-2,79;9;0;NA;0;0;-0,53;14;9;-1,45;53;18;0;0;0;1;0;0;0;0;0;0;0;0
Phf21b;-1,03;6;2;NA;0;0;-0,3;60;47;-2,01;9;1;0;0;1;0;0;0;0;0;0;0;0;0
Prr16;0,08;4;4;NA;0;0;-0,61;29;18;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm43111;-0,43;5;3;NA;0;0;0,86;5;10;-0,39;27;20;0;0;0;1;0;0;0;0;0;0;0;0
AC129085.2;-0,09;4;4;NA;0;0;0,45;5;7;-1,22;21;8;0;0;0;1;0;0;0;0;0;0;0;0
2900005J15Rik;-1,02;5;2;NA;0;0;0,03;22;22;-0,8;35;19;0;0;0;1;0;0;0;0;0;0;0;0
F9;3,14;0;7;NA;0;0;0,08;4;4;-0,98;156;75;0;0;0;1;0;0;0;0;0;0;0;0
Lrguk;-2,04;6;0;NA;0;0;-0,4;282;208;-0,51;22;14;0;0;1;0;0;0;1;0;0;0;0;0
Otud7a;-0,13;3;3;NA;0;0;0,26;44;51;0,59;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Mpp3;1,25;1;5;NA;0;0;-0,57;57;37;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm20682;2,07;0;5;NA;0;0;0,86;10;19;0,31;29;35;0;0;0;1;0;0;0;0;0;0;0;0
Rpe65;2,91;0;6;NA;0;0;-0,51;40;27;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Arx;2,82;0;5;NA;0;0;-0,41;132;96;-1,74;2;0;0;0;1;0;0;0;1;0;0;0;0;0
Pax6;1,27;1;4;NA;0;0;-0,69;388;231;-0,62;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm45200;0,55;2;3;NA;0;0;-0,16;114;99;0,29;1;2;0;0;1;0;0;0;1;0;0;0;0;0
Gm43322;-1,81;4;0;NA;0;0;-0,16;98;84;1,62;6;21;0;0;1;0;0;0;1;0;0;0;0;0
Hspb3;1,72;0;4;NA;0;0;0,82;2;4;-0,38;88;64;0;0;0;1;0;0;0;0;0;0;0;0
Mir155hg;0,91;1;3;NA;0;0;1,07;2;5;0,06;41;41;0;0;0;0;0;0;0;1;0;0;0;0
Ccdc180;-0,7;3;1;NA;0;0;-0,86;266;143;1,62;0;2;0;0;1;0;0;0;1;0;0;0;0;0
Kcnk10;2,56;0;4;NA;0;0;-0,44;193;137;-1,42;3;0;0;0;1;0;0;0;1;0;0;0;0;0
Arhgap27os3;-0,57;3;1;NA;0;0;-0,17;0;0;-1,55;44;14;0;0;0;1;0;0;0;0;0;0;0;0
AC173482.6;-0,38;2;1;NA;0;0;0,33;6;8;-1,65;35;10;0;0;0;1;0;0;0;0;0;0;0;0
Gm37820;-0,85;3;1;NA;0;0;1,31;1;4;-0,49;25;17;0;0;0;1;0;0;0;0;0;0;0;0
Gpr179;2,44;0;4;NA;0;0;-0,33;419;323;-1,4;3;0;0;0;1;0;0;0;1;0;0;0;0;0
Atp10b;1,62;0;3;NA;0;0;-0,7;48;28;1,06;5;12;0;0;1;0;0;0;0;0;0;0;0;0
Pkd2l1;0,02;1;1;NA;0;0;0,84;86;146;0,77;1;2;0;0;1;0;0;0;1;0;0;0;0;0
Olfr111;1,92;0;3;NA;0;0;0,35;0;1;1,23;35;81;0;0;0;0;0;0;0;1;0;0;0;0
CT025619.4;2,15;0;3;NA;0;0;0,21;21;24;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ecel1;2,14;0;3;NA;0;0;-0,35;71;52;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm44704;0,51;1;2;NA;0;0;-0,44;3;2;-1,38;50;17;0;0;0;1;0;0;0;0;0;0;0;0
Asphd1;-0,04;1;1;NA;0;0;0,99;20;38;0,52;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Dmrtb1;2,03;0;2;NA;0;0;-0,5;4;2;-1,44;31;10;0;0;0;1;0;0;0;0;0;0;0;0
AI849053;-1,19;2;0;NA;0;0;-0,46;118;83;-0,66;1;0;0;0;1;0;0;0;1;0;0;0;0;0
A330074H02Rik;1,98;0;2;NA;0;0;-0,39;66;49;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
G630030J09Rik;0,59;1;1;NA;0;0;-0,57;3;2;-0,72;27;15;0;0;0;1;0;0;0;0;0;0;0;0
Gm42908;-1,44;2;0;NA;0;0;0,01;11;11;-1,58;57;17;0;0;0;1;0;0;0;0;0;0;0;1
Gabrg3;0,21;1;1;NA;0;0;-0,34;115;89;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Disp3;-1,13;2;0;NA;0;0;0,02;388;379;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm43221;1,91;0;2;NA;0;0;-0,28;2;2;-0,92;71;35;0;0;0;1;0;0;0;0;0;0;0;0
Gm17147;-1,87;2;0;NA;0;0;-0,25;3;2;-2,56;109;16;0;0;0;1;0;0;0;0;0;0;0;1
Gm11739;-1,18;2;0;NA;0;0;-0,19;20;17;-0,53;11;7;0;0;0;0;0;0;1;0;0;0;0;0
Gm26767;-0,33;1;1;NA;0;0;1,16;7;16;-1,39;70;25;0;0;0;1;0;0;0;0;0;0;0;0
Gm23741;1,82;0;2;NA;0;0;-0,39;39;29;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Celrr;1,81;0;2;NA;0;0;-0,54;110;73;-0,93;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Fga;1,81;0;2;NA;0;0;7,13;0;180;2;0;3;0;0;0;0;0;0;1;0;0;0;1;0
Gm37510;0,12;1;1;NA;0;0;0,45;16;21;-0,71;79;46;0;0;0;1;0;0;0;0;0;0;0;0
Gm15964;-1,51;2;0;NA;0;0;2,2;2;13;-0,72;76;44;0;0;0;1;0;0;0;1;0;0;0;0
Ribc2;-1,18;2;0;NA;0;0;-0,74;71;41;0,96;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm44684;1,71;0;2;NA;0;0;-1,11;29;12;-2,56;6;0;0;0;1;0;0;0;0;0;0;0;0;0
Fam228b;0,54;0;1;NA;0;0;-0,32;104;81;-0,95;6;2;0;0;1;0;0;0;1;0;0;0;0;0
Angptl3;1,6;0;1;NA;0;0;0,04;5;6;-1,39;47;16;0;0;0;1;0;0;0;0;0;0;0;0
Gm45338;1,6;0;1;NA;0;0;-0,28;44;35;1,22;3;9;0;0;1;0;0;0;1;0;0;0;0;0
Krt15;1,55;0;1;NA;0;0;-0,33;70;54;0,87;1;3;0;0;0;0;0;0;1;0;0;0;0;0
Stab2;-1,19;1;0;NA;0;0;-1,28;114;45;-0,83;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm12326;1,5;0;1;NA;0;0;-0,79;77;43;-0,9;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Ccdc187;1,13;0;1;NA;0;0;-0,94;71;35;-1,48;2;0;0;0;1;0;0;0;0;0;0;0;0;0
Galnt3;1,41;0;1;NA;0;0;-1,18;9;3;-1,15;60;25;0;0;0;1;0;0;0;0;0;0;0;1
AC154300.1;1,36;0;1;NA;0;0;-0,88;27;13;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm29508;-1,34;1;0;NA;0;0;-0,72;87;51;1,54;0;2;0;0;1;0;0;0;1;0;0;0;0;0
Gm15893;0,31;0;1;NA;0;0;0,15;29;31;-0,76;2;1;0;0;1;0;0;0;0;0;0;0;0;0
Ankub1;-0,01;0;0;NA;0;0;-0,15;104;89;-1,52;2;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm35040;0,8;0;1;NA;0;0;-0,59;53;34;-1,08;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Spp2;-0,98;1;0;NA;0;0;-1,52;91;30;1,4;0;4;0;0;1;0;0;0;0;0;0;0;0;0
BC147527;1,21;0;1;NA;0;0;NA;0;0;-0,68;78;46;0;0;0;1;0;0;0;0;0;0;0;0
Ighj1;-0,56;0;0;NA;0;0;0,31;0;0;-2,65;46;6;0;0;0;1;0;0;0;0;0;0;0;1
Trp63;-1,17;1;0;NA;0;0;0,15;45;48;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Rptoros;0,8;0;1;NA;0;0;-0,61;3;2;0,48;30;40;0;0;0;1;0;0;0;0;0;0;0;0
Tcte1;-1,15;1;0;NA;0;0;-0,29;109;87;0,76;0;2;0;0;1;0;0;0;0;0;0;0;0;0
Gm43609;-0,42;0;0;NA;0;0;-0,75;27;16;-2,93;8;0;0;0;1;0;0;0;0;0;0;0;0;0
Cxxc4;0,79;0;1;NA;0;0;-0,77;60;33;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm3252;-1,11;1;0;NA;0;0;NA;0;0;-2,63;51;7;0;0;0;1;0;0;0;0;0;0;0;1
Asxl3;1,11;0;1;NA;0;0;0,76;11;19;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phf11a;1,11;0;1;NA;0;0;1,16;0;1;0,18;22;24;0;0;0;1;0;0;0;0;0;0;0;0
AC164550.1;1,1;0;1;NA;0;0;-1,16;25;10;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
9430053O09Rik;1,1;0;1;NA;0;0;-0,06;35;32;-1,19;35;14;0;0;0;1;0;0;1;0;0;0;0;0
Ttll8;-1,05;1;0;NA;0;0;-0,37;80;60;-0,97;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm15539;0,39;0;0;NA;0;0;-1,17;1;0;-0,6;52;33;0;0;0;1;0;0;0;0;0;0;0;0
8030442B05Rik;-0,92;0;0;NA;0;0;-0,91;1;0;-1,09;22;9;0;0;0;1;0;0;0;0;0;0;0;0
BC024139;0,91;0;0;NA;0;0;-0,44;64;45;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Csmd2;0,87;0;0;NA;0;0;0,4;82;104;-1,01;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Tmem200c;-0,28;0;0;NA;0;0;-0,45;41;29;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Foxb1;-0,82;0;0;NA;0;0;-1,22;90;37;NA;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm20692;-0,81;0;0;NA;0;0;-0,14;31;27;-1,38;4;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm26843;0,38;0;0;NA;0;0;-1,1;32;14;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fstl1;0,35;541;675;1,37;6303;15578;-0,01;1349;1293;1,07;71;145;1;1;1;1;1;1;1;1;0;1;0;0
Enpp2;-0,03;7484;7165;-0,88;24202;12853;0,03;15611;15142;-1,45;5632;1973;1;1;1;1;1;1;1;1;0;0;0;0
Ttr;-1,44;25484;9296;-0,89;16562;8789;-0,12;7267;6361;-0,44;7996;5616;1;1;1;1;1;1;1;1;0;0;0;0
Slc22a17;0,44;353;471;-0,38;1190;895;-0,36;5754;4325;-1,57;1164;372;1;1;1;1;1;1;1;1;0;0;0;1
Myl9;-2,5;1420;247;-1,13;123599;54259;-1,26;686;277;-0,36;563;421;1;1;1;1;1;1;1;1;1;1;0;0
Kcnj13;-1,69;792;245;-0,75;905;528;-0,35;208;155;-0,69;218;128;0;0;1;1;1;0;1;0;0;0;0;0
Clic6;0,34;148;184;-0,48;562;395;-0,06;533;492;-1,06;154;70;0;0;1;1;0;1;1;0;0;0;0;0
Sparcl1;-1,07;13415;6320;-1,43;84750;30411;-0,61;47089;29943;-0,59;926;591;1;1;1;1;1;1;1;1;1;1;0;0
Col9a3;-0,24;114;94;-0,68;473;289;-0,08;699;637;-1,27;112;43;0;0;1;0;0;0;1;0;0;0;0;0
Hnrnpd;1,1;261;553;1,12;191;402;0,19;283;311;0,33;484;586;1;1;1;1;1;1;1;1;0;0;0;0
Ccr7;1,68;15;51;7,78;0;207;-0,79;18;9;0,06;83;82;0;0;0;1;0;0;0;1;0;0;0;0
Gpm6a;0,33;290;357;-0,51;322;220;-0,41;19650;14268;-0,06;169;156;1;0;1;0;1;1;1;1;0;0;0;0
Nt5c2;-0,74;1892;1112;-1,04;2130;994;0,15;707;756;0,1;911;936;1;1;1;1;1;1;1;1;0;1;0;0
Ppp1r12a;-0,77;502;290;-1,3;7065;2761;0,13;353;373;-0,24;420;340;1;1;1;1;1;1;1;1;0;1;0;0
Cebpb;1,82;83;296;2,44;78;411;1;27;54;0,2;815;910;0;1;0;1;1;1;0;1;0;0;0;0
Slc13a4;0,37;71;90;-0,75;267;155;-0,33;201;153;-1,7;56;16;0;0;1;0;0;0;1;0;0;0;0;0
Slc7a10;0,73;89;145;-1,28;262;104;-0,53;12313;8301;-0,72;106;60;0;1;1;1;0;0;1;0;0;0;0;0
Vim;0,44;13173;17591;-0,79;45993;25652;0,28;8597;10192;3,12;403;3358;1;1;1;1;1;1;1;1;0;1;0;1
Steap1;-1,31;125;50;-1,56;272;89;0,25;100;115;-1,68;51;14;0;1;1;1;0;0;1;0;0;0;0;0
Mest;1,22;40;92;-0,28;155;125;1,02;152;298;0,08;28;28;0;0;1;0;0;1;1;0;0;0;0;0
Serinc3;-0,41;78788;58152;-0,51;39881;26989;0,01;9964;9594;-1,05;81975;38031;1;1;1;1;1;1;1;1;0;0;0;1
Mapk4;0,93;15;30;-1,21;162;68;-0,66;3999;2448;-0,13;53;46;0;1;1;0;0;0;1;0;0;0;0;0
Prkcb;0,12;224;241;1,33;57;140;0,21;302;335;-0,12;1094;964;1;0;1;1;1;1;1;1;0;0;0;0
Pcolce2;-0,78;64;36;-0,7;123;74;-0,28;722;565;-0,14;37;32;0;0;1;0;0;0;1;0;0;0;0;0
Kcne2;-1,04;108;51;-1,41;145;52;0,03;46;44;-1,29;59;22;0;1;1;0;0;0;0;0;0;0;0;0
Itm2b;-0,7;37517;22794;-0,54;36325;24075;-0,2;30868;25852;-0,67;47349;28603;1;1;1;1;1;1;1;1;0;0;0;1
F5;-0,67;211;130;0,73;63;103;0,3;77;91;-1,81;60;15;1;0;0;0;1;0;0;0;0;0;0;0
Fhad1;-1,15;26;11;-1,36;88;33;-0,01;414;400;-0,15;91;78;0;0;1;1;0;0;1;1;0;0;0;0
Scrg1;-0,08;52;49;-1;74;35;-0,53;2300;1534;0,56;27;39;0;0;1;0;0;0;1;0;0;0;0;0
