Gene;Log2Fc sEC/cEC;Mean cEC;Mean sEC;Log2Fc sPC/cPC;Mean cPC;Mean sPC;Log 2Fc sAC/cAC;Mean cAC;Mean sAC;Log2Fc sMG/cMG;Mean cMG;Mean sMG;cEC_exp;cPC_exp;cAC_exp;cMG_exp;sEC_exp;sPC_exp;sAC_exp;sMG_exp;EC_reg;PC_reg;AC_reg;MG_reg
A730049H05Rik;3,14;1;16;4,2;18;340;1,52;0;3;2,4;0;4;0;0;0;0;0;1;0;0;0;1;0;0
Cltc;0,29;4296;5188;-0,2;5241;4360;0,49;3119;4192;0,22;5616;6278;1;1;1;1;1;1;1;1;0;0;0;0
Eps8l1;-0,88;69;36;-0,58;185;119;-0,9;44;22;-2,49;81;13;0;1;1;1;1;1;1;0;0;0;0;1
Map4k4;-0,11;583;535;0,41;182;232;0,18;269;293;-0,18;332;280;1;1;1;1;1;1;1;1;0;0;0;0
Traf5;0,02;259;257;-1,24;340;137;0,41;29;37;-0,53;379;250;1;1;0;1;1;1;1;1;0;1;0;0
Mast1;-2,25;23;4;1,29;7;19;-0,86;34;17;-0,92;115;57;0;0;1;1;0;0;0;0;0;0;0;0
Pcsk5;-0,4;160;119;1,04;122;238;0,84;16;29;1,41;0;2;1;1;0;0;1;1;0;0;0;0;0;0
Dusp1;-0,06;32668;30791;-0,27;41989;33498;0,28;5245;6076;-0,81;70195;38312;1;1;1;1;1;1;1;1;0;0;0;1
Zfyve27;0,14;403;436;0,33;379;457;0,08;950;967;-0,41;725;522;1;1;1;1;1;1;1;1;0;0;0;0
Gramd3;-0,82;102;56;0,24;310;353;-0,31;1277;998;0,96;42;81;0;1;1;1;0;1;1;1;0;0;0;0
Pmaip1;-0,47;1387;982;0,9;54;97;0,53;37;52;-0,34;668;504;1;0;0;1;1;0;0;1;0;0;0;0
Lrfn3;0,02;8;8;0,67;32;50;-0,03;80;75;-1,19;12;4;0;0;1;0;0;1;1;0;0;0;0;0
Uggt1;0,29;1424;1714;0,21;1359;1505;0,27;978;1131;0,03;2123;2077;1;1;1;1;1;1;1;1;0;0;0;0
Tmem230;-0,26;317;260;0,36;219;270;-0,03;462;436;0,69;568;882;1;1;1;1;1;1;1;1;0;0;0;0
Rab8a;0,34;1938;2413;0,19;2083;2273;0,15;974;1034;0,46;1860;2458;1;1;1;1;1;1;1;1;0;0;0;0
Lhfp;-0,21;148;124;-0,23;7982;6557;-0,38;1854;1382;0,5;48;66;1;1;1;1;1;1;1;0;0;0;0;0
Lair1;1,26;178;413;2,24;115;523;0,07;391;391;-0,5;10859;7351;0;0;1;1;0;0;1;1;0;0;0;0
Kdm3a;-0,72;689;412;0,5;202;275;-0,32;941;731;-0,99;770;370;1;1;1;1;1;1;1;1;0;0;0;1
Tmub1;-0,21;222;187;-0,37;269;200;-0,34;461;348;-0,21;239;198;1;1;1;1;1;1;1;1;0;0;0;0
